,지역본부,지역,명,주소,동,호,주택군,주택열람일정,"전용
면적","주거공용
면적",면적계,방수,층수,"승강기
유무",주택유형, 임대보증금, 월임대료, 임대보증금, 월임대료
48,서울지역본부,서울특별시,매입다가구(서울송파구),"서울특별시 송파구 백제고분로19길 16-16(잠실동,집앤사 오리스) ",,403,송파잠실동(집앤사오리스),열람불가(계약 전 주택 개방),29.89,6.84,36.73,2,4층,Y,도시형생활주택,"  182,677,000 ","  211,200 ","  208,773,000 ","  235,670 "
49,서울지역본부,서울특별시,매입다가구(서울양천구),"서울특별시 양천구 목동중앙남로16다길 38-17(목동,만민하늘애) 만민하늘애",,402,양천목동(만민하늘애),열람불가(계약 전 주택 개방),47.4700,7.5600,55.0300,3,4층,Y,도시형생활주택,"  154,783,000 ","  159,180 ","  176,895,000 ","  176,690 "
50,서울지역본부,서울특별시,매입다가구(서울양천구),"서울특별시 양천구 신월로13길 15(신월동,혜성팰리스) 혜성팰리스",,201,양천신월동(혜성팰리스),열람불가(계약 전 주택 개방),24.7800,6.0600,30.8400,2,2층,Y,도시형생활주택,"  85,011,000 ","  99,140 ","  97,155,000 ","  110,530 "
51,서울지역본부,서울특별시,매입다가구(서울양천구),서울특별시 양천구 화곡로4길 29-12(신월동) 이가채,101,403,양천신월동(이가채),열람불가(계약 전 주택 개방),28.8500,6.1150,34.9650,2,4층,Y,도시형생활주택,"  104,347,000 ","  118,220 ","  119,254,000 ","  132,190 "
52,서울지역본부,서울특별시,매입다가구(서울양천구),서울특별시 양천구 화곡로4길 29-12(신월동) 이가채,101,603,양천신월동(이가채),열람불가(계약 전 주택 개방),28.8500,6.1150,34.9650,2,6층,Y,도시형생활주택,"  104,347,000 ","  118,220 ","  119,254,000 ","  132,190 "
53,서울지역본부,서울특별시,매입다가구(서울양천구),서울특별시 양천구 화곡로4길 29-18(신월동) 이가채,103,603,양천신월동(이가채),열람불가(계약 전 주택 개방),30.0000,5.9000,35.9000,2,6층,Y,도시형생활주택,"  110,792,000 ","  125,560 ","  126,620,000 ","  140,400 "
54,서울지역본부,서울특별시,매입다가구(서울영등포구),"서울특별시 영등포구 대림로22길 13-1(대림동,진성에코빌) 진성에코빌",,201,영등포대림동(진성에코빌),열람불가(계약 전 주택 개방),50.46,7.1,57.56,2,2층,Y,다세대주택,"  237,809,000 ","  236,040 ","  271,781,000 ","  262,940 "
55,서울지역본부,서울특별시,매입다가구(서울영등포구),"서울특별시 영등포구 대림로22길 13-1(대림동,진성에코빌) 진성에코빌",,401,영등포대림동(진성에코빌),열람불가(계약 전 주택 개방),50.46,7.1,57.56,2,4층,Y,다세대주택,"  240,774,000 ","  238,390 ","  275,170,000 ","  265,620 "
56,서울지역본부,서울특별시,매입다가구(서울은평구),"서울특별시 은평구 서오릉로18길 19(갈현동,비비드하임) 비비드하임",,203,은평갈현동(비비드하임),열람불가(계약 전 주택 개방),59.2000,6.8100,66.0100,3,2층,Y,다세대주택,"  197,680,000 ","  234,770 ","  225,920,000 ","  261,250 "
57,서울지역본부,서울특별시,매입다가구(서울은평구),"서울특별시 은평구 서오릉로4길 24(녹번동,동산주택) 동산주택 B동",,402,은평녹번동(동산주택),열람불가(계약 전 주택 개방),65.8500,14.8400,80.6900,3,4층,Y,다세대주택,"  219,366,000 ","  238,690 ","  250,704,000 ","  265,470 "
